index,full_count_name,full_count,full_count_pos_name,full_count_pos,full_count_neg_name,full_count_neg,florida_count_name,florida_count,florida_count_pos_name,florida_count_pos,florida_count_neg_name,florida_count_neg,japan_count_name,japan_count,japan_count_pos_name,japan_count_pos,japan_count_neg_name,japan_count_neg,singapore_count_name,singapore_count,singapore_count_pos_name,singapore_count_pos,singapore_count_neg_name,singapore_count_neg
0,kopiko wai winding river,9334,kopiko wai winding river,6761.0,kopiko wai winding river,2573.0,kopiko wai winding river,9334.0,kopiko wai winding river,6761.0,kopiko wai winding river,2573.0,harry potter and the forbidden journey,872.0,harry potter and the forbidden journey,750.0,sing on tour,203.0,waterworld: a live sea war spectacular,2659.0,waterworld: a live sea war spectacular,2203.0,waterworld: a live sea war spectacular,456.0
1,men in black alien attack,8515,men in black alien attack,6602.0,men in black alien attack,1913.0,men in black alien attack,8515.0,men in black alien attack,6602.0,men in black alien attack,1913.0,my friend dinosaur,829.0,my friend dinosaur,696.0,water world,140.0,sesame street spaghetti space chase,1121.0,sesame street spaghetti space chase,941.0,sesame street spaghetti space chase,180.0
2,the high in the sky seuss trolley train ride!,5088,the high in the sky seuss trolley train ride!,4037.0,fast and furious - supercharged,1315.0,the high in the sky seuss trolley train ride!,5088.0,the high in the sky seuss trolley train ride!,4037.0,fast and furious - supercharged,1315.0,sing on tour,778.0,water world,592.0,my friend dinosaur,133.0,revenge of the mummy: the ride,852.0,revenge of the mummy: the ride,773.0,donkey live,107.0
3,fast and furious - supercharged,4892,fast and furious - supercharged,3577.0,hollywood rip ride rockit,1118.0,fast and furious - supercharged,4892.0,fast and furious - supercharged,3577.0,hollywood rip ride rockit,1118.0,water world,732.0,sing on tour,575.0,bert & ernie's wonder: the sea,122.0,donkey live,822.0,donkey live,715.0,king julien's beach party-go-round,103.0
4,kala & tai nui serpentine body slides,4489,kala & tai nui serpentine body slides,3560.0,the high in the sky seuss trolley train ride!,1051.0,kala & tai nui serpentine body slides,4489.0,kala & tai nui serpentine body slides,3560.0,the high in the sky seuss trolley train ride!,1051.0,universal monsters live: rock and roll show,560.0,universal monsters live: rock and roll show,451.0,harry potter and the forbidden journey,122.0,king julien's beach party-go-round,626.0,king julien's beach party-go-round,523.0,battlestar galactica: human,84.0
5,race through new york starring jimmy fallon,4330,race through new york starring jimmy fallon,3440.0,the cat in the hat,1031.0,race through new york starring jimmy fallon,4330.0,race through new york starring jimmy fallon,3440.0,the cat in the hat,1031.0,wand magic,457.0,wand magic,388.0,universal monsters live: rock and roll show,109.0,battlestar galactica: human,604.0,battlestar galactica: human,520.0,revenge of the mummy: the ride,79.0
6,hollywood rip ride rockit,4045,hollywood rip ride rockit,2927.0,kala & tai nui serpentine body slides,929.0,hollywood rip ride rockit,4045.0,hollywood rip ride rockit,2927.0,kala & tai nui serpentine body slides,929.0,bert & ernie's wonder: the sea,428.0,abby's magical tree,344.0,power of pop unlimited,97.0,shrek 4-d adventure,442.0,shrek 4-d adventure,399.0,battlestar galactica: cylon,51.0
7,the cat in the hat,3597,harry potter and the forbidden journey,2607.0,race through new york starring jimmy fallon,890.0,the cat in the hat,3597.0,the cat in the hat,2566.0,race through new york starring jimmy fallon,890.0,power of pop unlimited,416.0,power of pop unlimited,319.0,minion rally,95.0,battlestar galactica: cylon,357.0,battlestar galactica: cylon,306.0,amber rock climb,43.0
8,"one fish, two fish, red fish, blue fish",3435,the cat in the hat,2566.0,"one fish, two fish, red fish, blue fish",873.0,"one fish, two fish, red fish, blue fish",3435.0,"one fish, two fish, red fish, blue fish",2562.0,"one fish, two fish, red fish, blue fish",873.0,abby's magical tree,394.0,bert & ernie's wonder: the sea,306.0,wand magic,69.0,canopy flyer,319.0,canopy flyer,278.0,shrek 4-d adventure,43.0
9,harry potter and the forbidden journey,3112,"one fish, two fish, red fish, blue fish",2562.0,harry potter and the forbidden journey,505.0,harry potter and the escape from gringotts,2562.0,harry potter and the escape from gringotts,2138.0,tot tiki reef,429.0,minion rally,373.0,the flying dinosaur,299.0,the flying dinosaur,67.0,puss in boots' giant journey,273.0,puss in boots' giant journey,248.0,canopy flyer,41.0
