,frequency
customer,1.8530443675257544
drink,1.995667912666823
parking,1.9962645713957412
islands,2.1494707059016007
nice,2.158906386601185
entrance,2.203789166459292
break,2.229455444240899
overall,2.2366401981575885
half,2.2600622709769795
pretty,2.2792823174235917
free,2.293240669674298
trip,2.4280350511572184
sure,2.4442503705433687
water,2.4654926136921187
shop,2.4779747728736368
short,2.508384178321432
bit,2.5305401702186403
start,2.557373565521705
min,2.5705351137645014
ask,2.5897973465595543
extra,2.600661114458541
stay,2.6083365907368803
early,2.6373726897656544
person,2.6430545232330855
orlando,2.7047480922384253
stand,2.7047480922384253
disappointed,2.7053543365734525
purchase,2.7114370803892216
let,2.749999072170013
love,2.7557224582226985
mummy,2.763404954394715
service,2.7887886797845196
studio,2.8387991003591804
work,2.848548481203184
little,2.8527560610431992
new,2.854866508537745
end,2.8562759520409786
expect,2.8583938490557133
roller,2.8719123758107337
child,2.876939316378708
cost,2.8783802388182202
waste,2.8870696490323797
open,2.9233564883872436
adventure,2.930926547247789
big,2.9416218363645372
crowd,2.9454694748166075
small,2.9657193879435972
world,2.983981110203678
old,2.985584959785653
know,3.0083132108632094
coaster,3.011602687513608
area,3.0257049535750786
use,3.0273771947674404
look,3.0701187431447114
close,3.0718669953382407
tell,3.078010059851955
try,3.083305747426665
leave,3.1387997481080063
fun,3.140672407831298
staff,3.1740247130915438
enjoy,3.190634767657164
theme,3.2005358386398757
walk,3.205523380150914
family,3.212547995087879
fast,3.219622304530416
expensive,3.2411505577940654
find,3.2599795659469732
feel,3.273802220904209
lot,3.2802469263468508
need,3.2889049890899655
come,3.2954480876789014
thing,3.3175728839595373
kid,3.3265617085279704
way,3.3299534585290917
price,3.33108660312626
worth,3.3482396823525096
spend,3.383454588643576
think,3.4150106050176388
place,3.4150106050176388
buy,3.426170051266537
experience,3.429917713366777
queue,3.4361951978859158
want,3.4361951978859158
attraction,3.4565521349546597
disney,3.457838308765404
food,3.4617067855433246
money,3.4655902855697223
minute,3.4681876896274075
pay,3.487886291125095
express,3.514769630518536
visit,3.5174981451717398
people,3.5202341249906146
potter,3.5271070042783768
harry,3.542395696793467
long,3.5536634216398095
ticket,3.5536634216398095
hour,3.5579217673223864
pass,3.5593452551072406
line,3.5809443669107024
wait,3.5809443669107024
